merge sort, quick sort
1063882, 1466951
1066698, 1301563
1059602, 1353061
1061828, 1386732
1067099, 1512066
1066658, 1412937
1067559, 1259213
1070195, 1396151
1061908, 1353171
1065666, 1293746
1064042, 1378986
1067940, 1239883
1062779, 1321645
1064302, 1348502
1064643, 1324010
1058621, 1367581
1068501, 1337278
1068361, 1453924
1063481, 1331085
1063711, 1313859
1061587, 1373554
1064403, 1351207
1064002, 1556199
1062209, 1310171
1064352, 1316875
1065095, 1411504
1069564, 1337939
1070636, 1279055
1063720, 1479032
1063750, 1405179
1064451, 1335053
1066486, 1386921
1065423, 1350996
1063759, 1672675
1062427, 1270689
1062837, 1294048
1063279, 1341536
1061224, 1380668
1063329, 1358472
1068149, 1437987
1064171, 1332337
1064622, 1307676
1065223, 1292484
1063108, 1418717
1063710, 1358461
1067177, 1320232
1070574, 1414117
1062227, 1371879
1062727, 1331626
1062707, 1342599
1063329, 1362089
1063008, 1316716
1071045, 1260519
1064792, 1330404
1063630, 1442897
1067848, 1422685
1060323, 1445572
1065834, 1522333
1064982, 1432415
1062277, 1427906
1063830, 1391701
1064020, 1455353
1064832, 1296964
1067858, 1443589
1060703, 1570292
1068520, 1349994
1066546, 1364364
1064932, 1397803
1068259, 1324080
1061766, 1331485
1069642, 1367440
1064381, 1334402
1113724, 1366909
1067647, 1381098
1065053, 1461396
1068049, 1297204
1066555, 1502741
1071235, 1496910
1064090, 1519927
1065754, 1360215
1065834, 1433077
1062507, 1512212
1065784, 1346036
1064892, 1564810
1063279, 1441444
